,REF,Review Date,Cocoa Percent,Ingredients,Rating
142,1924,2016,70.0,2,4.0
143,2020,2017,70.0,2,3.5
144,2020,2017,70.0,3,3.5
145,2020,2017,73.0,3,3.5
146,2028,2017,70.0,3,3.5
147,2024,2017,70.0,2,4.0
148,2028,2017,70.0,2,4.0
149,2068,2018,70.0,2,3.0
150,2254,2018,70.0,2,4.0
151,2450,2019,70.0,3,3.0
152,2330,2019,70.0,3,3.25
153,2166,2018,70.0,2,3.0
154,2162,2018,70.0,2,3.25
155,2162,2018,70.0,2,3.5
156,2162,2018,70.0,2,3.5
157,300,2008,72.0,3,3.75
158,363,2009,72.0,3,1.75
159,355,2009,75.0,3,2.5
160,355,2009,72.0,3,2.75
161,363,2009,80.0,3,3.0
162,363,2009,75.0,3,3.0
163,363,2009,72.0,3,3.25
164,486,2010,100.0,,1.75
165,600,2010,72.0,3,3.25
166,600,2010,72.0,3,3.25
167,600,2010,72.0,3,3.5
168,531,2010,72.0,3,3.75
169,745,2011,72.0,3,2.75
170,729,2011,72.0,3,4.0
171,947,2012,72.0,3,3.75
172,1193,2013,72.0,3,3.25
173,1181,2013,72.0,4,2.75
174,2562,2021,72.0,4,3.25
175,2562,2021,72.0,4,3.25
176,2566,2021,72.0,4,3.5
177,141,2007,75.0,2,2.5
178,175,2007,70.0,2,3.0
179,331,2009,77.0,2,3.75
180,647,2011,72.0,2,3.75
181,661,2011,70.0,2,3.75
182,1780,2016,68.0,3,3.75
183,2434,2019,70.0,4,3.0
184,2056,2018,77.0,4,2.75
185,2056,2018,70.0,3,3.0
186,2056,2018,70.0,3,3.0
187,2056,2018,70.0,3,3.5
188,2672,2021,70.0,2,2.5
189,2672,2021,70.0,2,3.0
190,999,2012,70.0,2,2.5
191,999,2012,70.0,2,2.5
192,995,2012,70.0,2,3.0
193,1474,2015,80.0,2,3.25
194,1474,2015,70.0,2,3.5
195,2146,2018,70.0,2,3.0
196,1454,2015,70.0,3,2.75
197,1454,2015,70.0,3,3.5
198,2290,2019,72.0,3,2.5
199,2294,2019,82.0,3,2.75
200,2294,2019,72.0,3,3.25
201,983,2012,70.0,2,3.25
202,983,2012,70.0,2,3.5
203,983,2012,70.0,2,3.75
204,1295,2014,70.0,2,4.0
205,1554,2015,70.0,2,3.5
206,1980,2017,72.0,2,3.5
207,1980,2017,80.0,2,3.5
208,955,2012,80.0,4,2.75
209,1880,2016,65.0,3,3.25
210,1840,2016,65.0,3,3.5
211,1868,2016,70.0,3,3.75
212,2374,2019,70.0,4,2.25
213,1948,2017,73.0,3,3.0
214,1948,2017,72.0,3,3.25
215,1784,2016,80.0,3,2.75
216,1784,2016,70.0,3,2.75
217,1784,2016,70.0,3,2.75
218,1788,2016,90.0,3,2.75
219,586,2010,64.0,4,2.75
220,586,2010,64.0,4,2.75
221,586,2010,64.0,4,2.75
222,586,2010,71.0,4,3.5
223,1804,2016,70.0,3,3.25
224,1800,2016,70.0,3,3.5
225,1864,2016,70.0,2,3.5
226,2190,2018,75.0,3,3.25
227,2648,2021,70.0,3,3.75
228,1768,2016,83.0,3,2.75
229,1768,2016,78.0,3,3.0
230,1768,2016,83.0,3,3.5
231,2246,2018,72.0,4,3.0
232,2246,2018,72.0,4,3.0
233,2246,2018,72.0,4,3.0
234,773,2011,72.0,3,3.75
235,757,2011,72.0,3,4.0
236,1141,2013,74.0,3,3.5
237,1141,2013,74.0,3,3.5
238,1141,2013,74.0,3,3.5
239,1141,2013,73.0,3,4.0
240,797,2012,55.0,5,2.75
241,508,2010,70.0,3,3.25
242,508,2010,74.0,3,3.25
243,508,2010,64.0,3,3.5
244,508,2010,72.0,3,3.5
245,636,2011,64.0,3,3.0
246,636,2011,88.0,3,3.0
247,636,2011,72.0,3,3.5
248,636,2011,72.0,3,4.0
249,1482,2015,76.0,2,2.5
250,1486,2015,76.0,2,2.5
251,1486,2015,78.0,4,2.5
252,1486,2015,86.0,4,3.25
253,2088,2018,70.0,4,3.0
254,2088,2018,70.0,4,3.0
255,2084,2018,70.0,4,3.5
256,233,2008,71.0,2,3.0
257,256,2008,70.0,2,3.0
258,233,2008,75.0,2,3.5
259,233,2008,68.0,2,3.75
260,414,2009,75.0,2,3.0
261,423,2009,75.0,2,3.25
262,414,2009,65.0,2,3.5
263,431,2009,65.0,2,3.5
264,558,2010,65.0,2,2.75
265,565,2010,70.0,2,3.0
266,565,2010,78.0,2,3.0
267,478,2010,75.0,2,3.25
268,502,2010,70.0,2,3.75
269,963,2012,72.0,3,3.5
270,2108,2018,70.0,2,3.0
271,2114,2018,70.0,2,3.0
272,2114,2018,70.0,2,3.25
273,2422,2019,70.0,2,2.75
274,256,2008,70.0,3,2.75
275,256,2008,70.0,3,2.75
276,256,2008,70.0,3,3.0
277,2574,2021,70.0,4,3.75
278,1331,2014,70.0,4,2.75
279,2590,2021,72.0,3,3.25
280,2590,2021,72.0,3,3.25
281,322,2009,72.0,4,2.75
282,1046,2013,82.0,4,3.5
283,911,2012,70.0,3,3.5
284,911,2012,70.0,3,3.75
285,1752,2016,75.0,2,2.75
286,1756,2016,75.0,2,3.0
287,1740,2016,82.0,2,3.5
288,1752,2016,75.0,2,3.5
289,1996,2017,70.0,3,2.75
290,2290,2019,68.0,2,2.5
291,2290,2019,72.0,2,2.75
292,2290,2019,74.0,2,3.25
293,81,2006,100.0,,1.5
294,81,2006,75.0,3,3.0
295,24,2006,75.0,3,3.75
296,32,2006,75.0,3,3.75
297,75,2006,75.0,3,3.75
298,48,2006,75.0,3,4.0
299,81,2006,75.0,3,4.0
300,123,2007,75.0,3,2.5
301,199,2008,75.0,3,4.0
302,336,2009,75.0,3,2.75
303,331,2009,75.0,3,3.0
304,336,2009,75.0,3,3.0
305,395,2009,75.0,3,3.0
306,761,2011,75.0,3,3.25
307,629,2011,75.0,3,3.5
308,629,2011,75.0,3,3.5
309,629,2011,75.0,3,3.5
310,672,2011,75.0,3,3.5
311,629,2011,75.0,3,3.75
312,629,2011,75.0,3,4.0
313,629,2011,75.0,3,4.0
314,1042,2013,75.0,3,3.25
315,1038,2013,75.0,3,3.5
316,1418,2014,75.0,3,3.25
317,1418,2014,65.0,3,3.75
318,1339,2014,75.0,3,4.0
319,1912,2016,75.0,3,3.5
320,2246,2018,75.0,3,4.0
321,2250,2018,75.0,3,4.0
322,2554,2021,75.0,3,3.75
323,341,2009,100.0,,1.5
324,316,2009,77.0,2,3.25
325,1267,2014,70.0,,2.75
326,1271,2014,70.0,,2.75
327,2254,2018,75.0,3,3.5
328,2194,2018,70.0,3,3.75
329,2096,2018,70.0,3,4.0
330,2542,2021,62.0,3,3.0
331,1125,2013,72.0,5,3.0
332,1125,2013,70.0,5,3.25
333,1129,2013,75.0,5,3.5
334,1129,2013,85.0,5,3.5
335,1255,2014,70.0,3,3.75
336,1355,2014,70.0,3,4.0
337,1462,2015,68.0,3,3.75
338,1868,2016,70.0,3,3.5
339,1868,2016,70.0,3,3.75
340,1980,2017,70.0,3,3.25
341,1984,2017,75.0,3,3.75
342,1518,2015,80.0,3,2.75
343,1514,2015,60.0,3,3.0
344,1514,2015,80.0,3,3.25
345,1518,2015,80.0,3,3.25
346,1518,2015,60.0,3,3.25
347,1514,2015,70.0,2,3.5
348,1149,2013,70.0,4,3.0
349,1235,2014,68.0,3,2.75
350,1231,2014,72.0,3,3.0
351,1231,2014,70.0,3,3.5
352,1231,2014,72.0,3,3.5
353,1638,2015,70.0,2,3.25
354,1181,2013,68.0,3,2.75
355,2052,2018,70.0,3,2.5
356,2052,2018,70.0,3,3.0
357,1323,2014,60.0,3,2.5
358,1299,2014,72.0,3,3.25
359,1303,2014,72.0,3,3.25
360,1303,2014,72.0,3,3.25
361,1299,2014,72.0,3,3.5
362,2314,2019,70.0,2,3.0
363,2274,2019,70.0,2,3.25
364,2274,2019,70.0,2,3.5
365,2330,2019,70.0,4,3.0
366,2266,2019,70.0,4,3.5
367,2266,2019,70.0,4,3.75
368,1606,2015,70.0,2,2.5
369,600,2010,75.0,2,2.25
370,502,2010,75.0,2,2.5
371,502,2010,75.0,2,2.75
372,1215,2014,75.0,2,2.5
373,141,2007,72.0,5,2.0
374,147,2007,66.0,5,3.0
375,300,2008,75.0,5,2.0
376,586,2010,70.0,5,3.0
377,1716,2016,65.0,5,3.5
378,2226,2018,72.0,2,2.5
379,2230,2018,72.0,2,3.0
380,2226,2018,72.0,2,3.75
381,1391,2014,75.0,2,2.5
382,1391,2014,74.0,2,3.25
383,1391,2014,75.0,2,3.5
384,1395,2014,70.0,2,3.75
385,1668,2015,74.0,2,3.25
386,1692,2015,75.0,2,3.25
387,1688,2015,77.0,2,3.5
388,2238,2018,75.0,2,2.75
389,2278,2019,75.0,2,2.5
390,2278,2019,70.0,2,3.0
391,2076,2018,70.0,2,3.0
392,1434,2014,69.0,4,2.75
393,1434,2014,70.0,4,3.25
394,1430,2014,64.0,4,3.5
395,1430,2014,70.0,4,3.5
396,1662,2015,72.0,3,3.75
397,1816,2016,71.0,3,3.75
398,1816,2016,74.0,3,3.75
399,1860,2016,70.0,4,3.5
400,641,2011,72.0,2,3.0
401,647,2011,65.0,2,3.25
402,641,2011,66.0,2,3.75
403,991,2012,72.0,2,3.75
404,336,2009,70.0,4,4.0
405,346,2009,70.0,4,4.0
406,537,2010,71.0,4,3.25
407,508,2010,71.0,4,3.5
408,537,2010,71.0,4,3.5
409,537,2010,77.0,4,3.5
410,523,2010,71.0,4,3.75
411,523,2010,71.0,4,4.0
412,1908,2016,70.0,4,3.5
413,2510,2020,72.0,4,2.75
414,2510,2020,72.0,4,2.75
415,2510,2020,72.0,4,3.0
416,1684,2015,70.0,2,3.0
417,1684,2015,70.0,2,3.25
418,1684,2015,70.0,2,3.5
419,2084,2018,70.0,,3.0
420,2084,2018,70.0,,3.25
421,2084,2018,70.0,,3.5
422,2610,2021,70.0,2,3.5
423,2614,2021,70.0,2,3.5
424,2614,2021,80.0,2,3.5
425,2610,2021,70.0,2,4.0
426,259,2008,91.0,4,1.5
427,245,2008,82.0,4,2.5
428,237,2008,63.0,4,3.5
429,237,2008,71.0,4,3.5
430,141,2007,70.0,,1.0
431,296,2008,60.0,,2.75
432,749,2011,78.0,2,2.25
433,765,2011,70.0,2,2.5
434,809,2012,80.0,2,3.0
435,1185,2013,100.0,1,3.5
436,1442,2014,75.0,2,2.5
437,1442,2014,72.0,2,3.0
438,1442,2014,70.0,2,3.5
439,1804,2016,75.0,3,2.5
440,1804,2016,73.0,3,2.75
441,1804,2016,70.0,3,3.0
442,1808,2016,75.0,3,3.0
443,1808,2016,70.0,3,3.25
444,2558,2021,70.0,4,3.25
445,2558,2021,70.0,4,3.25
446,2558,2021,70.0,4,3.5
447,2558,2021,70.0,4,3.75
448,237,2008,77.0,4,2.0
449,237,2008,77.0,4,2.5
450,245,2008,77.0,4,2.75
451,266,2008,55.0,4,3.0
452,269,2008,55.0,4,3.25
453,269,2008,55.0,4,3.5
454,1263,2014,70.0,3,3.5
455,1263,2014,70.0,3,3.75
456,2626,2021,70.0,3,3.0
457,2626,2021,70.0,3,3.25
458,2630,2021,70.0,3,3.25
459,2630,2021,70.0,3,3.25
460,845,2012,80.0,2,2.75
461,841,2012,72.0,2,3.0
462,1586,2015,72.0,2,3.25
463,1582,2015,72.0,3,3.5
464,1586,2015,72.0,2,3.5
465,1884,2016,65.0,3,3.0
466,1888,2016,65.0,3,3.25
467,1888,2016,65.0,3,3.25
468,1888,2016,65.0,3,3.5
469,1888,2016,65.0,3,3.5
470,2154,2018,75.0,2,2.0
471,2394,2019,71.0,2,3.0
472,2402,2019,65.0,2,3.25
473,1105,2013,70.0,3,2.5
474,1153,2013,70.0,3,2.75
475,1101,2013,70.0,3,3.0
476,1153,2013,72.0,3,3.0
477,1105,2013,70.0,3,3.25
478,1109,2013,72.0,3,3.25
479,1101,2013,73.0,2,3.5
480,1407,2014,70.0,3,2.75
481,1347,2014,72.0,3,3.5
482,1371,2014,76.0,3,3.5
483,1570,2015,72.0,3,3.5
484,1574,2015,72.0,3,3.5
485,1570,2015,70.0,3,3.75
486,1724,2016,72.0,3,4.0
487,1956,2017,70.0,2,3.25
488,2354,2019,70.0,3,3.5
489,2314,2019,70.0,3,3.75
490,2554,2021,70.0,3,4.0
491,2688,2021,72.0,3,4.0
492,1247,2014,70.0,3,2.5
493,1247,2014,70.0,3,2.75
494,1251,2014,70.0,3,2.75
495,1251,2014,70.0,3,3.0
496,404,2009,72.0,,2.75
497,1426,2014,70.0,3,2.75
498,2672,2021,70.0,3,3.0
499,2676,2021,70.0,3,3.0
500,2676,2021,72.0,3,3.25
501,2028,2017,74.0,2,3.0
502,2238,2018,68.0,3,3.5
503,1900,2016,70.0,3,3.25
504,252,2008,75.0,3,3.0
505,486,2010,55.0,3,2.75
506,1235,2014,70.0,3,3.5
507,2202,2018,72.0,3,3.0
508,2422,2019,72.0,3,3.5
509,2668,2021,83.0,3,3.25
510,2668,2021,69.0,3,3.25
511,672,2011,70.0,,3.5
512,1454,2015,70.0,3,3.25
513,1407,2014,75.0,2,3.0
514,1407,2014,82.0,2,3.25
515,1696,2015,70.0,2,2.75
516,1696,2015,70.0,2,3.5
517,2298,2019,72.0,3,2.5
518,2298,2019,71.0,3,3.25
519,1482,2015,65.0,2,2.5
520,1514,2015,80.0,2,2.5
521,1482,2015,65.0,2,2.75
522,2442,2019,74.0,2,3.0
523,647,2011,70.0,2,3.75
524,647,2011,68.0,2,3.75
525,1772,2016,90.0,2,2.5
526,1772,2016,80.0,2,2.5
527,1760,2016,70.0,2,2.5
528,1760,2016,70.0,2,2.75
529,1768,2016,80.0,2,2.75
530,1764,2016,60.0,2,3.0
531,1764,2016,75.0,2,3.0
532,1764,2016,80.0,2,3.0
533,1764,2016,70.0,2,3.25
534,1259,2014,74.0,3,2.75
535,1530,2015,75.0,3,3.25
536,1530,2015,68.0,3,3.5
537,1530,2015,80.0,3,3.75
538,919,2012,82.0,3,2.5
539,919,2012,68.0,3,2.75
540,919,2012,72.0,3,3.25
541,1121,2013,70.0,2,3.75
542,1582,2015,69.0,3,3.75
543,1582,2015,80.0,2,3.75
544,2700,2021,70.0,3,2.75
545,2134,2018,72.0,3,3.25
546,2294,2019,70.0,3,3.0
547,1219,2014,70.0,4,2.5
548,2080,2018,63.0,3,2.5
549,2080,2018,76.0,2,2.75
550,2080,2018,70.0,2,2.75
551,1454,2015,77.0,,3.0
552,682,2011,65.0,,3.25
553,1832,2016,75.0,3,3.25
554,2594,2021,70.0,2,3.25
555,2598,2021,73.0,2,3.25
556,2594,2021,70.0,2,3.5
557,117,2007,71.0,4,2.5
558,117,2007,71.0,4,2.5
559,117,2007,70.0,4,3.0
560,209,2008,71.0,4,3.5
561,439,2009,60.0,4,3.25
562,439,2009,75.0,4,3.25
563,478,2010,71.0,4,3.25
564,478,2010,71.0,4,3.5
565,1522,2015,65.0,2,2.5
566,1522,2015,75.0,2,2.5
567,377,2009,80.0,4,2.5
568,377,2009,70.0,4,2.75
569,377,2009,70.0,4,3.0
570,377,2009,80.0,4,3.0
571,377,2009,70.0,4,3.0
572,2534,2020,70.0,2,3.5
573,2514,2020,75.0,2,3.75
574,2534,2020,70.0,2,3.75
575,2514,2020,67.0,2,4.0
576,2638,2021,75.0,2,3.5
577,2638,2021,75.0,2,3.75
578,1149,2013,42.0,4,2.75
579,2250,2018,70.0,2,2.75
580,2226,2018,75.0,3,3.75
581,2314,2019,72.0,3,3.0
582,2310,2019,70.0,3,3.25
583,2310,2019,73.0,3,3.5
584,2310,2019,72.0,3,3.5
585,2306,2019,72.0,3,3.75
586,2310,2019,70.0,3,4.0
587,666,2011,68.0,,3.75
588,445,2009,61.0,5,3.0
589,486,2010,77.0,3,2.75
590,252,2008,100.0,,1.0
591,209,2008,80.0,3,3.0
592,227,2008,75.0,3,3.75
593,470,2010,73.5,2,3.75
594,2630,2021,70.0,3,3.5
595,2630,2021,79.0,3,3.5
596,1486,2015,73.0,2,3.5
597,2474,2020,70.0,3,3.5
598,2402,2019,70.0,4,2.25
599,2606,2021,68.0,3,3.0
600,2606,2021,77.0,2,3.25
601,2606,2021,70.0,3,3.25
602,292,2008,80.0,,2.75
603,296,2008,88.0,,2.75
604,292,2008,72.0,,3.25
605,292,2008,70.0,,3.75
606,579,2010,70.0,,3.25
607,1630,2015,76.0,2,3.5
608,1916,2016,78.0,2,2.75
609,2688,2021,70.0,3,2.5
610,2688,2021,70.0,3,2.5
611,2684,2021,68.0,3,3.25
612,2688,2021,75.0,3,3.5
613,196,2007,72.0,3,3.0
614,220,2008,72.0,3,3.0
615,220,2008,72.0,3,3.0
616,341,2009,72.0,3,3.0
617,445,2009,62.0,3,3.25
618,451,2009,70.0,3,3.5
619,451,2009,70.0,3,3.75
620,558,2010,72.0,3,2.5
621,478,2010,70.0,3,3.0
622,558,2010,72.0,3,3.0
623,470,2010,72.0,3,3.25
624,558,2010,72.0,3,3.25
625,558,2010,72.0,3,3.25
626,817,2012,100.0,,1.5
627,813,2012,85.0,3,3.5
628,959,2012,70.0,3,3.5
629,821,2012,72.0,3,3.75
630,1169,2013,65.0,4,3.25
631,1984,2017,75.0,3,3.75
632,48,2006,70.0,,1.0
633,971,2012,75.0,3,3.25
634,975,2012,65.0,3,3.25
635,975,2012,67.0,3,3.25
636,975,2012,64.0,3,3.25
637,975,2012,75.0,3,3.5
638,1283,2014,70.0,3,2.5
639,1335,2014,83.0,3,2.75
640,1736,2016,85.0,3,3.25
641,1736,2016,73.0,3,3.75
642,2466,2020,70.0,2,3.25
643,2466,2020,70.0,2,3.25
644,2502,2020,70.0,2,3.25
645,2466,2020,70.0,2,3.5
646,2656,2021,70.0,2,3.75
647,2526,2020,70.0,3,3.25
648,2522,2020,70.0,3,3.5
649,2522,2020,75.0,3,3.5
650,2526,2020,70.0,3,3.5
651,2622,2021,73.0,2,3.75
652,785,2011,70.0,5,3.25
653,1654,2015,70.0,3,2.75
654,1928,2017,72.0,2,2.75
655,1666,2015,70.0,3,2.25
656,1666,2015,70.0,3,2.75
657,1610,2015,70.0,3,3.0
658,1610,2015,70.0,3,3.5
659,2064,2018,65.0,4,2.5
660,2574,2021,68.0,4,2.5
661,2574,2021,72.0,4,3.0
662,2574,2021,72.0,4,3.5
663,805,2012,70.0,2,3.0
664,805,2012,70.0,2,3.25
665,915,2012,70.0,2,3.75
666,1026,2013,70.0,2,2.75
667,1026,2013,70.0,2,3.25
668,1085,2013,70.0,2,3.5
669,1153,2013,70.0,2,3.5
670,1303,2014,70.0,2,2.75
671,1219,2014,70.0,2,3.5
672,1295,2014,70.0,2,3.5
673,1387,2014,70.0,2,3.75
674,1446,2015,70.0,2,3.0
675,1816,2016,70.0,2,3.75
676,2024,2017,70.0,2,3.0
677,2178,2018,70.0,2,3.0
678,2178,2018,70.0,2,3.25
679,2178,2018,70.0,2,3.5
680,2386,2019,70.0,2,3.5
681,2602,2021,70.0,2,2.75
682,2602,2021,70.0,2,2.75
683,2550,2021,70.0,2,3.25
684,2602,2021,70.0,2,3.25
685,2546,2021,70.0,2,3.5
686,2550,2021,70.0,2,3.5
687,2546,2021,70.0,2,4.0
688,654,2011,70.0,2,3.25
689,654,2011,70.0,2,3.25
690,654,2011,70.0,2,3.25
691,2550,2021,70.0,2,3.0
692,423,2009,75.0,4,3.0
693,423,2009,60.0,4,3.25
694,661,2011,60.0,4,3.5
695,987,2012,75.0,4,3.0
696,991,2012,70.0,2,3.25
697,987,2012,70.0,2,3.75
698,987,2012,70.0,2,3.75
699,987,2012,70.0,2,4.0
700,1223,2014,82.0,4,3.25
701,1920,2016,72.0,2,2.75
702,1920,2016,72.0,2,3.0
703,1920,2016,70.0,2,3.25
704,2342,2019,72.0,4,3.0
705,2342,2019,70.0,4,3.25
706,1550,2015,70.0,3,3.0
707,1554,2015,70.0,3,3.0
708,1550,2015,70.0,3,3.25
709,1554,2015,70.0,3,3.25
710,1708,2016,75.0,3,3.25
711,907,2012,58.0,4,3.25
712,1093,2013,70.0,4,2.5
713,1093,2013,70.0,4,2.75
714,1093,2013,70.0,4,2.75
715,1462,2015,72.0,3,3.5
716,1462,2015,65.0,3,3.5
717,1832,2016,70.0,3,2.5
718,1832,2016,70.0,3,3.0
719,170,2007,66.0,4,2.5
720,175,2007,64.0,4,3.0
721,175,2007,71.0,4,3.0
722,175,2007,60.0,4,3.0
723,180,2007,64.0,4,3.0
724,180,2007,64.0,4,3.0
725,263,2008,66.0,4,3.75
726,423,2009,64.0,4,3.0
727,2222,2018,70.0,2,2.5
728,2222,2018,70.0,2,2.5
729,2222,2018,80.0,2,3.0
730,1916,2016,72.0,2,2.5
731,2422,2019,72.0,2,3.0
732,166,2007,77.0,2,3.5
733,166,2007,77.0,2,3.5
734,241,2008,80.0,2,2.75
735,661,2011,80.0,2,2.75
736,682,2011,75.0,2,2.75
737,769,2011,74.0,2,3.0
738,769,2011,70.0,2,3.25
739,895,2012,75.0,2,2.75
740,1034,2013,70.0,2,3.25
741,1193,2013,76.0,2,3.5
742,1235,2014,74.0,2,3.5
743,1634,2015,70.0,2,3.75
744,1864,2016,78.0,2,3.5
745,1952,2017,70.0,2,3.75
746,1972,2017,75.0,2,3.75
747,2016,2017,72.0,2,4.0
748,2258,2018,80.0,2,3.75
749,2434,2019,72.0,2,3.75
750,2270,2019,72.0,2,4.0
751,2466,2020,73.0,2,3.5
752,2554,2021,75.0,2,3.75
753,2656,2021,72.0,2,4.0
754,2406,2019,75.0,4,2.5
755,2402,2019,70.0,4,2.75
756,2402,2019,65.0,4,3.0
757,2406,2019,75.0,4,3.0
758,1371,2014,72.0,3,3.25
759,1371,2014,72.0,3,3.25
760,1407,2014,72.0,3,3.5
761,1688,2015,85.0,3,3.0
762,311,2009,70.0,,3.75
763,63,2006,70.0,3,1.5
764,304,2008,88.0,3,3.0
765,87,2006,70.0,2,3.0
766,87,2006,70.0,2,3.25
767,87,2006,70.0,2,3.5
768,129,2007,75.0,2,3.25
769,135,2007,60.0,2,3.25
770,135,2007,70.0,2,3.5
771,192,2007,70.0,2,3.5
772,192,2007,70.0,2,3.75
773,111,2007,70.0,2,4.0
774,192,2007,70.0,2,4.0
775,192,2007,70.0,2,4.0
776,227,2008,70.0,2,3.0
777,272,2008,70.0,2,3.0
778,272,2008,78.0,2,3.5
779,272,2008,70.0,2,3.75
780,470,2010,70.0,2,3.0
781,693,2011,70.0,2,3.5
782,863,2012,70.0,2,3.5
783,863,2012,70.0,2,3.75
784,1109,2013,100.0,,3.0
785,1672,2015,70.0,2,3.75
786,1672,2015,70.0,2,3.75
787,2040,2018,70.0,2,4.0
788,1672,2015,70.0,3,2.5
789,1676,2015,80.0,3,2.75
790,1676,2015,77.0,3,2.75
